qid,base_cov,delta,attraction,n_poles,k,pole_baseline,pole_scout,pole_div_only,vendi_k_baseline,vendi_k_scout,d_vendi_k,mpc_baseline,mpc_scout,w_baseline,w_scout,modes_baseline,modes_scout,d_modes
3066,0.6,0.15000000000000002,0.1379140019416809,20,4,0.3521580696105957,0.4900720715522766,0.45424142479896545,3.0166492462158203,1.932144045829773,-1.0845052003860474,0.44035300612449646,0.7422468662261963,51,245,3.016649007797241,1.9321441650390625,-1.0845048427581787
3069,0.75,0.25,0.03572836518287659,20,3,0.31598618626594543,0.351714551448822,0.3214968740940094,2.4252777099609375,2.25986630320549,-0.1654114067554473,0.47299250960350037,0.5565769672393799,53,340,2.4252777099609375,4.150824069976807,1.7255463600158691
3149,0.625,0.2639,0.015620246529579163,20,7,0.17416450381278992,0.18978475034236908,0.16770358383655548,4.947441101074219,4.031114852428436,-0.9163262486457828,0.36220112442970276,0.47553306818008423,197,338,4.947441101074219,4.529935359954834,-0.41750574111938477
3479,0.1429,0.05710000000000001,-0.02051442861557007,4,4,0.3259904384613037,0.30547600984573364,0.30156439542770386,2.6592156887054443,2.851620149612427,0.1924044609069826,0.48968812823295593,0.5021525621414185,69,309,2.6592159271240234,5.7068705558776855,3.047654628753662
3887,0.4,-0.06670000000000004,0.02654692530632019,20,4,0.13679221272468567,0.16333913803100586,0.16737651824951172,2.8910884857177734,1.994225835800171,-0.8968626499176025,0.4699772298336029,0.7396619915962219,49,387,2.8910884857177734,2.4441847801208496,-0.44690370559692383
3959,0.4,-0.15000000000000002,-0.006324976682662964,20,,0.38042983412742615,0.3741048574447632,0.38459622859954834,,,,0.42044368386268616,0.4997577667236328,42,402,1.8256807327270508,4.714817047119141,2.88913631439209
3991,0.4,0.6,-0.0674709677696228,20,,0.4171392321586609,0.3496682643890381,0.33634111285209656,,,,0.686715304851532,0.4755592942237854,36,301,1.5435113906860352,5.986714839935303,4.443203449249268
4088,0.6667,-0.6667,-0.008639559149742126,20,3,0.24437032639980316,0.23573076725006104,0.23235030472278595,2.095592498779297,2.497326898574829,0.40173439979553205,0.6190807819366455,0.44293007254600525,70,341,2.095592498779297,6.500455379486084,4.404862880706787
4329,0.3333,-0.3333,-0.01359817385673523,20,3,0.4722396433353424,0.4586414694786072,0.5693463087081909,1.6790814399719238,2.1631253361701965,0.4840438961982727,0.7797364592552185,0.5959464907646179,64,351,1.6790814399719238,3.3769314289093018,1.697849988937378
4703,0.0,0.4,0.09943762421607971,28,,0.39425891637802124,0.49369654059410095,0.47436273097991943,,,,0.4492878317832947,0.6390572190284729,28,123,1.8013091087341309,2.8524110317230225,1.0511019229888916
